skill_parent_category,skill_sub_category,canonical_skill_name
Marketing & Growth,Digital Marketing,App Store Optimization
Marketing & Growth,Digital Marketing,Paid Search
Marketing & Growth,Digital Marketing,Paid Social
Marketing & Growth,Digital Marketing,Programmatic Advertising
Marketing & Growth,Digital Marketing,SEO Keyword Research
Marketing & Growth,Marketing Analytics,Campaign Analysis
Marketing & Growth,Marketing Analytics,Marketing Attribution
Operations & Supply Chain,Operations,Administrative Support
Operations & Supply Chain,Operations,SLA Management
Operations & Supply Chain,Operations,Scheduling
Operations & Supply Chain,Process Excellence,Process Design
Operations & Supply Chain,Supply Chain,Fleet Management
Operations & Supply Chain,Supply Chain,Fulfillment Operations
Operations & Supply Chain,Supply Chain,Inventory Forecasting
Operations & Supply Chain,Supply Chain,Last Mile Delivery
Operations & Supply Chain,Supply Chain,Logistics Planning
Operations & Supply Chain,Supply Chain,Materials Planning
Operations & Supply Chain,Supply Chain,Route Optimization
Operations & Supply Chain,Supply Chain,Supply Chain Analytics
Operations & Supply Chain,Supply Chain,Vendor Negotiation
Operations & Supply Chain,Supply Chain,Warehouse Operations
Product & User Analytics,Product Analytics,Feature Analysis
Product & User Analytics,Product Analytics,Product Experimentation
Product & User Analytics,Product Management,Product Discovery
Product & User Analytics,Product Management,Product Requirements
Product & User Analytics,Product Metrics,Metric Design
Product & User Analytics,User Research,Figma
Product & User Analytics,User Research,Prototyping
Product & User Analytics,User Research,User Interview
Product & User Analytics,User Research,Wireframing
Project / Program Management,Stakeholder Management,Change Impact Assessment
Risk / Compliance / Actuarial,Compliance,Policy Compliance
Risk / Compliance / Actuarial,Compliance,Transaction Monitoring
Risk / Compliance / Actuarial,Risk Management,Risk Assessment
Risk / Compliance / Actuarial,Risk Management,Vulnerability Assessment
Risk / Compliance / Actuarial,Risk Modeling,Fraud Detection
Sales / BD / Customer Success,Business Development,Lead Qualification
Sales / BD / Customer Success,Business Development,Prospecting
Sales / BD / Customer Success,Customer Success,Customer Service
Sales / BD / Customer Success,Customer Success,Renewal Management
Sales / BD / Customer Success,Revenue Operations,CRM Data Management
Sales / BD / Customer Success,Sales,Pipeline Management
Sales / BD / Customer Success,Sales,Sales Enablement
Software & Technical Delivery,Quality Assurance,Integration Testing
Software & Technical Delivery,Quality Assurance,Unit Testing
Software & Technical Delivery,Software Development,Algorithms
Software & Technical Delivery,Software Development,Angular
Software & Technical Delivery,Software Development,Data Structures
Software & Technical Delivery,Software Development,Debugging
Software & Technical Delivery,Software Development,Django
Software & Technical Delivery,Software Development,FastAPI
Software & Technical Delivery,Software Development,Flask
Software & Technical Delivery,Software Development,GraphQL
Software & Technical Delivery,Software Development,Object-Oriented Programming
Software & Technical Delivery,Software Development,React
Software & Technical Delivery,Software Development,Spring Boot
Software & Technical Delivery,Software Development,Vue.js
Spreadsheet & Office Productivity,Spreadsheet Tools,Data Entry
Spreadsheet & Office Productivity,Spreadsheet Tools,Microsoft Access
Statistics & Experimentation,Analytics Methods,Exploratory Data Analysis
