role_normalized,alias,lang,notes
Analytics Consultant,analytics consultant,en,
Analytics Consultant,data analytics consultant,en,
Analytics Consultant,analysis consultant,en,
Analytics Consultant,數據分析顧問,zh,
Analytics Consultant,分析顧問,zh,
Financial Analyst,Financial Analyst,en,
Financial Analyst,financial analyst,en,
Financial Analyst,finance analyst,en,
Financial Analyst,financial planning analyst,en,
Financial Analyst,財務分析師,zh,
Financial Analyst,財務企劃分析師,zh,
Finance Analyst,Finance Analyst,en,
Finance Analyst,finance analyst,en,
Finance Analyst,financial analyst,en,
Finance Analyst,finance associate,en,
Finance Analyst,財務分析師,zh,
Finance Analyst,財務專員,zh,
FP&A Analyst,FP&A Analyst,en,
FP&A Analyst,fp&a analyst,en,
FP&A Analyst,fpanda analyst,en,
FP&A Analyst,fpa analyst,en,
FP&A Analyst,fpna analyst,en,
FP&A Analyst,financial planning and analysis analyst,en,
FP&A Analyst,FP&A分析師,mixed,
FP&A Analyst,財務規劃分析師,zh,
FP&A Analyst,財務計畫分析師,zh,
Financial Planning Analyst,Financial Planning Analyst,en,
Financial Planning Analyst,financial planning analyst,en,
Financial Planning Analyst,financial planning and analysis analyst,en,
Financial Planning Analyst,planning analyst,en,
Financial Planning Analyst,財務規劃分析師,zh,
Financial Planning Analyst,Financial Planning分析師,mixed,
Financial Planning Analyst,財務計畫分析師,zh,
Budget Analyst,Budget Analyst,en,
Budget Analyst,budget analyst,en,
Budget Analyst,budgeting analyst,en,
Budget Analyst,budgeting specialist,en,
Budget Analyst,預算分析師,zh,
Budget Analyst,預算管理師,zh,
Corporate Finance Analyst,Corporate Finance Analyst,en,
Corporate Finance Analyst,corporate finance analyst,en,
Corporate Finance Analyst,corp finance analyst,en,
Corporate Finance Analyst,company finance analyst,en,
Corporate Finance Analyst,企業財務分析師,zh,
Corporate Finance Analyst,Corporate Finance分析師,mixed,
Corporate Finance Analyst,公司財務分析師,zh,
Strategic Finance Analyst,Strategic Finance Analyst,en,
Strategic Finance Analyst,strategic finance analyst,en,
Strategic Finance Analyst,strategy finance analyst,en,
Strategic Finance Analyst,finance strategy analyst,en,
Strategic Finance Analyst,策略財務分析師,zh,
Strategic Finance Analyst,Strategic Finance分析師,mixed,
Strategic Finance Analyst,財務策略分析師,zh,
Commercial Finance Analyst,Commercial Finance Analyst,en,
Commercial Finance Analyst,commercial finance analyst,en,
Commercial Finance Analyst,business finance analyst,en,
Commercial Finance Analyst,sales finance analyst,en,
Commercial Finance Analyst,商業財務分析師,zh,
Commercial Finance Analyst,Commercial Finance分析師,mixed,
Commercial Finance Analyst,業務財務分析師,zh,
Treasury Analyst,Treasury Analyst,en,
Treasury Analyst,treasury analyst,en,
Treasury Analyst,treasury associate,en,
Treasury Analyst,cash management analyst,en,
Treasury Analyst,資金管理分析師,zh,
Treasury Analyst,Treasury分析師,mixed,
Treasury Analyst,財資分析師,zh,
Revenue Analyst,Revenue Analyst,en,
Revenue Analyst,revenue analyst,en,
Revenue Analyst,revenue management analyst,en,
Revenue Analyst,income analyst,en,
Revenue Analyst,營收分析師,zh,
Revenue Analyst,收入分析師,zh,
Pricing Analyst,Pricing Analyst,en,
Pricing Analyst,pricing analyst,en,
Pricing Analyst,price analyst,en,
Pricing Analyst,pricing analytics analyst,en,
Pricing Analyst,定價分析師,zh,
Pricing Analyst,價格分析師,zh,
Pricing Analyst,保險定價分析師,zh,
Revenue Operations Analyst,Revenue Operations Analyst,en,
Revenue Operations Analyst,revenue operations analyst,en,
Revenue Operations Analyst,revops analyst,en,
Revenue Operations Analyst,revenue ops analyst,en,
Revenue Operations Analyst,營收營運分析師,zh,
Revenue Operations Analyst,RevOps分析師,mixed,
Revenue Operations Analyst,Revenue Operations分析師,mixed,
Investment Banking Analyst,Investment Banking Analyst,en,
Investment Banking Analyst,investment banking analyst,en,
Investment Banking Analyst,ib analyst,en,
Investment Banking Analyst,investment bank analyst,en,
Investment Banking Analyst,投資銀行分析師,zh,
Investment Banking Analyst,IB Analyst,en,
Investment Banking Analyst,投行分析師,zh,
Capital Markets Analyst,Capital Markets Analyst,en,
Capital Markets Analyst,capital markets analyst,en,
Capital Markets Analyst,capital market analyst,en,
Capital Markets Analyst,資本市場分析師,zh,
Sales & Trading Analyst,Sales & Trading Analyst,en,
Sales & Trading Analyst,sales & trading analyst,en,
Sales & Trading Analyst,sales and trading analyst,en,
Sales & Trading Analyst,s&t analyst,en,
Sales & Trading Analyst,trading analyst,en,
Sales & Trading Analyst,銷售交易分析師,zh,
Sales & Trading Analyst,Sales & Trading分析師,mixed,
Sales & Trading Analyst,交易分析師,zh,
Trader,Trader,en,
Trader,trader,en,
Trader,financial trader,en,
Trader,market trader,en,
Trader,交易員,zh,
Trader,金融交易員,zh,
Equity Research Analyst,Equity Research Analyst,en,
Equity Research Analyst,equity research analyst,en,
Equity Research Analyst,er analyst,en,
Equity Research Analyst,stock research analyst,en,
Equity Research Analyst,股票研究分析師,zh,
Equity Research Analyst,研究員,zh,
Fixed Income Analyst,Fixed Income Analyst,en,
Fixed Income Analyst,fixed income analyst,en,
Fixed Income Analyst,bond analyst,en,
Fixed Income Analyst,fixed income research analyst,en,
Fixed Income Analyst,固定收益分析師,zh,
Fixed Income Analyst,債券分析師,zh,
Investment Research Analyst,Investment Research Analyst,en,
Investment Research Analyst,investment research analyst,en,
Investment Research Analyst,investment analyst,en,
Investment Research Analyst,research analyst investment,en,
Investment Research Analyst,投資研究分析師,zh,
Investment Research Analyst,投資分析師,zh,
Credit Research Analyst,Credit Research Analyst,en,
Credit Research Analyst,credit research analyst,en,
Credit Research Analyst,credit analyst,en,
Credit Research Analyst,bond credit analyst,en,
Credit Research Analyst,信用研究分析師,zh,
Credit Research Analyst,債信分析師,zh,
Investment Analyst,Investment Analyst,en,
Investment Analyst,investment analyst,en,
Investment Analyst,investment associate,en,
Investment Analyst,投資分析師,zh,
Portfolio Analyst,Portfolio Analyst,en,
Portfolio Analyst,portfolio analyst,en,
Portfolio Analyst,portfolio management analyst,en,
Portfolio Analyst,asset allocation analyst,en,
Portfolio Analyst,投資組合分析師,zh,
Portfolio Analyst,資產配置分析師,zh,
Asset Management Analyst,Asset Management Analyst,en,
Asset Management Analyst,asset management analyst,en,
Asset Management Analyst,am analyst,en,
Asset Management Analyst,asset mgmt analyst,en,
Asset Management Analyst,資產管理分析師,zh,
Private Equity Analyst,Private Equity Analyst,en,
Private Equity Analyst,private equity analyst,en,
Private Equity Analyst,pe analyst,en,
Private Equity Analyst,private equity associate,en,
Private Equity Analyst,私募股權分析師,zh,
Private Equity Analyst,PE Analyst,en,
Venture Capital Analyst,Venture Capital Analyst,en,
Venture Capital Analyst,venture capital analyst,en,
Venture Capital Analyst,vc analyst,en,
Venture Capital Analyst,venture investment analyst,en,
Venture Capital Analyst,創投分析師,zh,
Venture Capital Analyst,VC Analyst,en,
Venture Capital Analyst,VC分析師,mixed,
Corporate Banking Analyst,Corporate Banking Analyst,en,
Corporate Banking Analyst,corporate banking analyst,en,
Corporate Banking Analyst,commercial banking analyst,en,
Corporate Banking Analyst,法金分析師,zh,
Corporate Banking Analyst,企業金融分析師,zh,
Commercial Banking Analyst,Commercial Banking Analyst,en,
Commercial Banking Analyst,commercial banking analyst,en,
Commercial Banking Analyst,business banking analyst,en,
Commercial Banking Analyst,企金分析師,zh,
Commercial Banking Analyst,商業銀行分析師,zh,
Credit Analyst,Credit Analyst,en,
Credit Analyst,credit analyst,en,
Credit Analyst,loan analyst,en,
Credit Analyst,credit officer,en,
Credit Analyst,信用分析師,zh,
Credit Analyst,授信分析師,zh,
Loan Officer,Loan Officer,en,
Loan Officer,loan officer,en,
Loan Officer,loan specialist,en,
Loan Officer,credit officer,en,
Loan Officer,貸款專員,zh,
Loan Officer,授信專員,zh,
Underwriting Analyst,Underwriting Analyst,en,
Underwriting Analyst,underwriting analyst,en,
Underwriting Analyst,underwriter analyst,en,
Underwriting Analyst,underwriting associate,en,
Underwriting Analyst,核保分析師,zh,
Underwriting Analyst,承銷分析師,zh,
Underwriting Analyst,核保人員,zh,
Relationship Manager,Relationship Manager,en,
Relationship Manager,relationship manager,en,
Relationship Manager,rm,en,RM 常指 Relationship Manager，但也可能是 Risk Management
Relationship Manager,client relationship manager,en,
Relationship Manager,客戶關係經理,zh,
Relationship Manager,RM,en,
Wealth Management Associate,Wealth Management Associate,en,
Wealth Management Associate,wealth management associate,en,
Wealth Management Associate,wm associate,en,
Wealth Management Associate,wealth advisor associate,en,
Wealth Management Associate,財富管理專員,zh,
Wealth Management Associate,理財專員,zh,
Private Banking Associate,Private Banking Associate,en,
Private Banking Associate,private banking associate,en,
Private Banking Associate,pb associate,en,
Private Banking Associate,private banker associate,en,
Private Banking Associate,私人銀行專員,zh,
Private Banking Associate,私銀專員,zh,
Financial Advisor,Financial Advisor,en,
Financial Advisor,financial advisor,en,
Financial Advisor,financial consultant,en,
Financial Advisor,wealth advisor,en,
Financial Advisor,理財顧問,zh,
Financial Advisor,財務顧問,zh,
Investment Consultant,Investment Consultant,en,
Investment Consultant,investment consultant,en,
Investment Consultant,investment advisor,en,
Investment Consultant,投資顧問,zh,
Banking Risk Analyst,Banking Risk Analyst,en,
Banking Risk Analyst,banking risk analyst,en,
Banking Risk Analyst,bank risk analyst,en,
Banking Risk Analyst,financial risk analyst banking,en,
Banking Risk Analyst,銀行風險分析師,zh,
Banking Risk Analyst,金融風險分析師,zh,
Credit Risk Analyst,Credit Risk Analyst,en,
Credit Risk Analyst,credit risk analyst,en,
Credit Risk Analyst,credit risk management analyst,en,
Credit Risk Analyst,信用風險分析師,zh,
Market Risk Analyst,Market Risk Analyst,en,
Market Risk Analyst,market risk analyst,en,
Market Risk Analyst,market risk management analyst,en,
Market Risk Analyst,市場風險分析師,zh,
Accountant,Accountant,en,
Accountant,accountant,en,
Accountant,accounting specialist,en,
Accountant,accounting staff,en,
Accountant,會計,zh,
Accountant,會計專員,zh,
Accountant,會計人員,zh,
Accounting Analyst,Accounting Analyst,en,
Accounting Analyst,accounting analyst,en,
Accounting Analyst,accounting specialist analyst,en,
Accounting Analyst,finance accounting analyst,en,
Accounting Analyst,會計分析師,zh,
Accounting Analyst,會計管理師,zh,
Accounting Analyst,財會分析師,zh,
Cost Accountant,Cost Accountant,en,
Cost Accountant,cost accountant,en,
Cost Accountant,cost accounting specialist,en,
Cost Accountant,成本會計,zh,
Cost Accountant,成本會計專員,zh,
Cost Accounting Analyst,Cost Accounting Analyst,en,
Cost Accounting Analyst,cost accounting analyst,en,
Cost Accounting Analyst,cost analyst,en,
Cost Accounting Analyst,cost control analyst,en,
Cost Accounting Analyst,成本會計分析師,zh,
Cost Accounting Analyst,成本分析師,zh,
Management Accountant,Management Accountant,en,
Management Accountant,management accountant,en,
Management Accountant,managerial accountant,en,
Management Accountant,管理會計,zh,
Management Accountant,管理會計專員,zh,
Revenue Accountant,Revenue Accountant,en,
Revenue Accountant,revenue accountant,en,
Revenue Accountant,revenue accounting specialist,en,
Revenue Accountant,收入會計,zh,
Revenue Accountant,營收會計,zh,
Audit Associate,Audit Associate,en,
Audit Associate,audit associate,en,
Audit Associate,audit assistant,en,
Audit Associate,auditing associate,en,
Audit Associate,審計員,zh,
Audit Associate,審計助理,zh,
Audit Associate,審計專員,zh,
Auditor,Auditor,en,
Auditor,auditor,en,
Auditor,audit specialist,en,
Auditor,稽核員,zh,
Auditor,審計員,zh,
External Auditor,External Auditor,en,
External Auditor,external auditor,en,
External Auditor,external audit associate,en,
External Auditor,外部審計員,zh,
External Auditor,外部稽核員,zh,
Internal Auditor,Internal Auditor,en,
Internal Auditor,internal auditor,en,
Internal Auditor,internal audit specialist,en,
Internal Auditor,內部稽核,zh,
Internal Auditor,內稽專員,zh,
Assurance Associate,Assurance Associate,en,
Assurance Associate,assurance associate,en,
Assurance Associate,assurance auditor,en,
Assurance Associate,審計專員,zh,
Assurance Associate,確信服務專員,zh,
IT Auditor,IT Auditor,en,
IT Auditor,it auditor,en,
IT Auditor,information systems auditor,en,
IT Auditor,資訊稽核,zh,
IT Auditor,IT稽核,mixed,
Tax Associate,Tax Associate,en,
Tax Associate,tax associate,en,
Tax Associate,tax specialist,en,
Tax Associate,tax assistant,en,
Tax Associate,稅務專員,zh,
Tax Associate,稅務助理,zh,
Tax Analyst,Tax Analyst,en,
Tax Analyst,tax analyst,en,
Tax Analyst,tax specialist analyst,en,
Tax Analyst,tax management analyst,en,
Tax Analyst,稅務分析師,zh,
Tax Analyst,稅務管理師,zh,
Tax Consultant,Tax Consultant,en,
Tax Consultant,tax consultant,en,
Tax Consultant,tax advisory consultant,en,
Tax Consultant,稅務顧問,zh,
Transfer Pricing Analyst,Transfer Pricing Analyst,en,
Transfer Pricing Analyst,transfer pricing analyst,en,
Transfer Pricing Analyst,tp analyst,en,
Transfer Pricing Analyst,transfer pricing associate,en,
Transfer Pricing Analyst,移轉訂價分析師,zh,
Transfer Pricing Analyst,移轉定價分析師,zh,
Compliance Analyst,Compliance Analyst,en,
Compliance Analyst,compliance analyst,en,
Compliance Analyst,regulatory compliance analyst,en,
Compliance Analyst,aml compliance analyst,en,
Compliance Analyst,法遵分析師,zh,
Compliance Analyst,合規分析師,zh,
Risk Management Analyst,Risk Management Analyst,en,
Risk Management Analyst,risk management analyst,en,
Risk Management Analyst,risk analyst,en,
Risk Management Analyst,risk control analyst,en,
Risk Management Analyst,風險管理分析師,zh,
Risk Management Analyst,風控分析師,zh,
Enterprise Risk Analyst,Enterprise Risk Analyst,en,
Enterprise Risk Analyst,enterprise risk analyst,en,
Enterprise Risk Analyst,erm analyst,en,
Enterprise Risk Analyst,enterprise risk management analyst,en,
Enterprise Risk Analyst,企業風險分析師,zh,
Enterprise Risk Analyst,ERM分析師,mixed,
Operational Risk Analyst,Operational Risk Analyst,en,
Operational Risk Analyst,operational risk analyst,en,
Operational Risk Analyst,operation risk analyst,en,
Operational Risk Analyst,ops risk analyst,en,
Operational Risk Analyst,作業風險分析師,zh,
Operational Risk Analyst,營運風險分析師,zh,
Financial Risk Analyst,Financial Risk Analyst,en,
Financial Risk Analyst,financial risk analyst,en,
Financial Risk Analyst,finance risk analyst,en,
Financial Risk Analyst,金融風險分析師,zh,
Financial Risk Analyst,財務風險分析師,zh,
Insurance Analyst,Insurance Analyst,en,
Insurance Analyst,insurance analyst,en,
Insurance Analyst,insurance product analyst,en,
Insurance Analyst,insurance business analyst,en,
Insurance Analyst,保險分析師,zh,
Insurance Analyst,保險商品分析師,zh,
Claims Analyst,Claims Analyst,en,
Claims Analyst,claims analyst,en,
Claims Analyst,claim analyst,en,
Claims Analyst,claims specialist,en,
Claims Analyst,理賠分析師,zh,
Claims Analyst,理賠專員,zh,
Reinsurance Analyst,Reinsurance Analyst,en,
Reinsurance Analyst,reinsurance analyst,en,
Reinsurance Analyst,reinsurance specialist,en,
Reinsurance Analyst,再保險分析師,zh,
Reinsurance Analyst,再保險專員,zh,
Actuarial Analyst,Actuarial Analyst,en,
Actuarial Analyst,actuarial analyst,en,
Actuarial Analyst,actuarial associate,en,
Actuarial Analyst,actuarial student,en,
Actuarial Analyst,精算分析師,zh,
Actuarial Analyst,精算人員,zh,
Actuary,Actuary,en,
Actuary,actuary,en,
Actuary,qualified actuary,en,
Actuary,精算師,zh,
Reserving Analyst,Reserving Analyst,en,
Reserving Analyst,reserving analyst,en,
Reserving Analyst,actuarial reserving analyst,en,
Reserving Analyst,reserve analyst,en,
Reserving Analyst,準備金分析師,zh,
Reserving Analyst,精算準備金分析師,zh,
Operations Analyst,Operations Analyst,en,
Operations Analyst,operations analyst,en,
Operations Analyst,ops analyst,en,
Operations Analyst,operation analyst,en,
Operations Analyst,營運分析師,zh,
Operations Analyst,運營分析師,zh,
Operations Analyst,Ops分析師,mixed,
Operations Associate,Operations Associate,en,
Operations Associate,operations associate,en,
Operations Associate,ops associate,en,
Operations Associate,operation associate,en,
Operations Associate,營運專員,zh,
Operations Associate,運營專員,zh,
Operations Manager,Operations Manager,en,
Operations Manager,operations manager,en,
Operations Manager,ops manager,en,
Operations Manager,operation manager,en,
Operations Manager,營運經理,zh,
Operations Manager,運營經理,zh,
Strategy & Operations Analyst,Strategy & Operations Analyst,en,
Strategy & Operations Analyst,strategy & operations analyst,en,
Strategy & Operations Analyst,strategy and operations analyst,en,
Strategy & Operations Analyst,s&o analyst,en,S&O 可能指 Strategy & Operations 或 Sales & Operations，需搭配上下文
Strategy & Operations Analyst,strategic operations analyst,en,
Strategy & Operations Analyst,策略營運分析師,zh,
Strategy & Operations Analyst,S&O分析師,mixed,
Supply Chain Analyst,Supply Chain Analyst,en,
Supply Chain Analyst,supply chain analyst,en,
Supply Chain Analyst,scm analyst,en,
Supply Chain Analyst,supply chain planning analyst,en,
Supply Chain Analyst,供應鏈分析師,zh,
Logistics Analyst,Logistics Analyst,en,
Logistics Analyst,logistics analyst,en,
Logistics Analyst,logistic analyst,en,
Logistics Analyst,transportation analyst,en,
Logistics Analyst,物流分析師,zh,
Distribution Analyst,Distribution Analyst,en,
Distribution Analyst,distribution analyst,en,
Distribution Analyst,distribution planning analyst,en,
Distribution Analyst,配送分析師,zh,
Distribution Analyst,通路配送分析師,zh,
Demand Planner,Demand Planner,en,
Demand Planner,demand planner,en,
Demand Planner,demand planning analyst,en,
Demand Planner,demand planning specialist,en,
Demand Planner,需求規劃師,zh,
Demand Planner,需求計畫專員,zh,
Inventory Analyst,Inventory Analyst,en,
Inventory Analyst,inventory analyst,en,
Inventory Analyst,inventory planning analyst,en,
Inventory Analyst,stock analyst,en,
Inventory Analyst,庫存分析師,zh,
Inventory Analyst,存貨分析師,zh,
Procurement Analyst,Procurement Analyst,en,
Procurement Analyst,procurement analyst,en,
Procurement Analyst,purchasing analyst,en,
Procurement Analyst,sourcing analyst,en,
Procurement Analyst,採購分析師,zh,
Procurement Specialist,Procurement Specialist,en,
Procurement Specialist,procurement specialist,en,
Procurement Specialist,purchasing specialist,en,
Procurement Specialist,buyer,en,
Procurement Specialist,採購專員,zh,
Sourcing Specialist,Sourcing Specialist,en,
Sourcing Specialist,sourcing specialist,en,
Sourcing Specialist,strategic sourcing specialist,en,
Sourcing Specialist,procurement sourcing specialist,en,
Sourcing Specialist,尋源專員,zh,
Sourcing Specialist,採購開發專員,zh,
Purchasing Specialist,Purchasing Specialist,en,
Purchasing Specialist,purchasing specialist,en,
Purchasing Specialist,buyer,en,
Purchasing Specialist,procurement specialist,en,
Purchasing Specialist,採購專員,zh,
Vendor Manager,Vendor Manager,en,
Vendor Manager,vendor manager,en,
Vendor Manager,supplier manager,en,
Vendor Manager,vendor management manager,en,
Vendor Manager,供應商管理經理,zh,
Vendor Manager,廠商管理經理,zh,
Project Manager,Project Manager,en,
Project Manager,project manager,en,
Project Manager,pm,en,PM 可能是 Project Manager 或 Product Manager，需依上下文判斷
Project Manager,project lead,en,
Project Manager,專案經理,zh,
Project Manager,PM,en,
Program Manager,Program Manager,en,
Program Manager,program manager,en,
Program Manager,program lead,en,
Program Manager,project portfolio manager,en,
Program Manager,計畫經理,zh,
Program Manager,專案群經理,zh,
Business Program Manager,Business Program Manager,en,
Business Program Manager,business program manager,en,
Business Program Manager,business project manager,en,
Business Program Manager,biz program manager,en,
Business Program Manager,商業專案經理,zh,
PMO Analyst,PMO Analyst,en,
PMO Analyst,pmo analyst,en,
PMO Analyst,project management office analyst,en,
PMO Analyst,project management analyst,en,
PMO Analyst,PMO分析師,mixed,
PMO Analyst,專案管理分析師,zh,
PMO Analyst,專案管理辦公室分析師,zh,
Operations Excellence Analyst,Operations Excellence Analyst,en,
Operations Excellence Analyst,operations excellence analyst,en,
Operations Excellence Analyst,operational excellence analyst,en,
Operations Excellence Analyst,oe analyst,en,
Operations Excellence Analyst,營運卓越分析師,zh,
Operations Excellence Analyst,營運優化分析師,zh,
Business Intelligence Analyst,Business Intelligence Analyst,en,
Business Intelligence Analyst,business intelligence analyst,en,
Business Intelligence Analyst,bi analyst,en,BI = Business Intelligence；單獨 BI 可能過寬
Business Intelligence Analyst,business intel analyst,en,
Business Intelligence Analyst,商業智慧分析師,zh,
Business Intelligence Analyst,BI分析師,mixed,
BI Analyst,BI Analyst,en,
BI Analyst,bi analyst,en,
BI Analyst,business intelligence analyst,en,
BI Analyst,bi reporting analyst,en,
BI Analyst,BI分析師,mixed,
BI Analyst,商業智慧分析師,zh,
BI Developer,BI Developer,en,
BI Developer,bi developer,en,
BI Developer,business intelligence developer,en,
BI Developer,bi engineer,en,
BI Developer,BI開發工程師,mixed,
BI Developer,商業智慧開發工程師,zh,
Reporting Analyst,Reporting Analyst,en,
Reporting Analyst,reporting analyst,en,
Reporting Analyst,report analyst,en,
Reporting Analyst,management reporting analyst,en,
Reporting Analyst,報表分析師,zh,
Reporting Analyst,數據報表分析師,zh,
Dashboard Analyst,Dashboard Analyst,en,
Dashboard Analyst,dashboard analyst,en,
Dashboard Analyst,dashboard developer analyst,en,
Dashboard Analyst,dashboard reporting analyst,en,
Dashboard Analyst,儀表板分析師,zh,
Dashboard Analyst,Dashboard開發分析師,mixed,
Data Visualization Analyst,Data Visualization Analyst,en,
Data Visualization Analyst,data visualization analyst,en,
Data Visualization Analyst,data viz analyst,en,
Data Visualization Analyst,visualization analyst,en,
Data Visualization Analyst,資料視覺化分析師,zh,
Data Visualization Analyst,數據視覺化分析師,zh,
Marketing Analyst,Marketing Analyst,en,
Marketing Analyst,marketing analyst,en,
Marketing Analyst,marketing data analyst,en,
Marketing Analyst,marketing analytics analyst,en,
Marketing Analyst,行銷分析師,zh,
Marketing Analyst,行銷數據分析師,zh,
Financial Data Analyst,Financial Data Analyst,en,
Financial Data Analyst,financial data analyst,en,
Financial Data Analyst,finance data analyst,en,
Financial Data Analyst,financial analytics analyst,en,
Financial Data Analyst,財務數據分析師,zh,
Data Scientist,Data Scientist,en,
Data Scientist,data scientist,en,
Data Scientist,ds,en,DS 可能指 Data Scientist 或 Data Science，單獨使用需小心
Data Scientist,data science scientist,en,
Data Scientist,資料科學家,zh,
Data Scientist,數據科學家,zh,
Decision Scientist,Decision Scientist,en,
Decision Scientist,decision scientist,en,
Decision Scientist,decision science analyst,en,
Decision Scientist,decision analyst,en,
Decision Scientist,決策科學家,zh,
Decision Scientist,決策分析師,zh,
Applied Scientist,Applied Scientist,en,
Applied Scientist,applied scientist,en,
Applied Scientist,applied science scientist,en,
Applied Scientist,應用科學家,zh,
Statistical Analyst,Statistical Analyst,en,
Statistical Analyst,statistical analyst,en,
Statistical Analyst,statistics analyst,en,
Statistical Analyst,stats analyst,en,
Statistical Analyst,統計分析師,zh,
Statistician,Statistician,en,
Statistician,statistician,en,
Statistician,statistician analyst,en,
Statistician,統計師,zh,
Machine Learning Analyst,Machine Learning Analyst,en,
Machine Learning Analyst,machine learning analyst,en,
Machine Learning Analyst,ml analyst,en,
Machine Learning Analyst,machine learning analytics analyst,en,
Machine Learning Analyst,機器學習分析師,zh,
Machine Learning Analyst,ML分析師,mixed,
Forecasting Analyst,Forecasting Analyst,en,
Forecasting Analyst,forecasting analyst,en,
Forecasting Analyst,forecast analyst,en,
Forecasting Analyst,demand forecasting analyst,en,
Forecasting Analyst,預測分析師,zh,
Forecasting Analyst,需求預測分析師,zh,
Predictive Analytics Analyst,Predictive Analytics Analyst,en,
Predictive Analytics Analyst,predictive analytics analyst,en,
Predictive Analytics Analyst,predictive analyst,en,
Predictive Analytics Analyst,predictive modeling analyst,en,
Predictive Analytics Analyst,預測分析分析師,zh,
Predictive Analytics Analyst,預測模型分析師,zh,
Quantitative Analyst,Quantitative Analyst,en,
Quantitative Analyst,quantitative analyst,en,
Quantitative Analyst,quant analyst,en,
Quantitative Analyst,quant,en,
Quantitative Analyst,量化分析師,zh,
Quantitative Analyst,Quant Analyst,en,
Quantitative Research Analyst,Quantitative Research Analyst,en,
Quantitative Research Analyst,quantitative research analyst,en,
Quantitative Research Analyst,quant research analyst,en,
Quantitative Research Analyst,quantitative researcher analyst,en,
Quantitative Research Analyst,量化研究分析師,zh,
Risk Modeling Analyst,Risk Modeling Analyst,en,
Risk Modeling Analyst,risk modeling analyst,en,
Risk Modeling Analyst,risk model analyst,en,
Risk Modeling Analyst,風險模型分析師,zh,
Data Engineer,Data Engineer,en,
Data Engineer,data engineer,en,
Data Engineer,de,en,
Data Engineer,data engineering engineer,en,
Data Engineer,資料工程師,zh,
Data Engineer,數據工程師,zh,
Data Pipeline Engineer,Data Pipeline Engineer,en,
Data Pipeline Engineer,data pipeline engineer,en,
Data Pipeline Engineer,pipeline engineer,en,
Data Pipeline Engineer,data pipelines engineer,en,
Data Pipeline Engineer,資料管線工程師,zh,
Data Pipeline Engineer,數據管線工程師,zh,
ETL Developer,ETL Developer,en,
ETL Developer,etl developer,en,
ETL Developer,etl engineer,en,
ETL Developer,etl specialist,en,
ETL Developer,ETL開發工程師,mixed,
ETL Developer,ETL工程師,mixed,
Analytics Engineer,Analytics Engineer,en,
Analytics Engineer,analytics engineer,en,
Analytics Engineer,ae analytics,en,
Analytics Engineer,analytics engineering,en,
Analytics Engineer,分析工程師,zh,
BI Engineer,BI Engineer,en,
BI Engineer,bi engineer,en,
BI Engineer,business intelligence engineer,en,
BI Engineer,b.i. engineer,en,
BI Engineer,BI工程師,mixed,
BI Engineer,商業智慧工程師,zh,
Data Warehouse Analyst,Data Warehouse Analyst,en,
Data Warehouse Analyst,data warehouse analyst,en,
Data Warehouse Analyst,dwh analyst,en,
Data Warehouse Analyst,data warehousing analyst,en,
Data Warehouse Analyst,資料倉儲分析師,zh,
Data Warehouse Analyst,數據倉儲分析師,zh,
Database Analyst,Database Analyst,en,
Database Analyst,database analyst,en,
Database Analyst,db analyst,en,
Database Analyst,database specialist,en,
Database Analyst,資料庫分析師,zh,
Data Platform Analyst,Data Platform Analyst,en,
Data Platform Analyst,data platform analyst,en,
Data Platform Analyst,platform data analyst,en,
Data Platform Analyst,data platform operations analyst,en,
Data Platform Analyst,資料平台分析師,zh,
Data Platform Analyst,數據平台分析師,zh,
Data Operations Analyst,Data Operations Analyst,en,
Data Operations Analyst,data operations analyst,en,
Data Operations Analyst,data ops analyst,en,
Data Operations Analyst,data operation analyst,en,
Data Operations Analyst,資料營運分析師,zh,
Data Operations Analyst,數據營運分析師,zh,
System Analyst,System Analyst,en,
System Analyst,system analyst,en,
System Analyst,systems analyst,en,
System Analyst,sa,en,SA 可能指 System Analyst、Solution Architect、Sales Associate，需上下文
System Analyst,系統分析師,zh,
System Analyst,SA,en,
Business Systems Analyst,Business Systems Analyst,en,
Business Systems Analyst,business systems analyst,en,
Business Systems Analyst,bsa,en,
Business Systems Analyst,business system analyst,en,
Business Systems Analyst,商業系統分析師,zh,
Business Systems Analyst,BSA,en,
IT Business Analyst,IT Business Analyst,en,
IT Business Analyst,it business analyst,en,
IT Business Analyst,it ba,en,
IT Business Analyst,technical business analyst,en,
IT Business Analyst,IT商業分析師,mixed,
Product Support Analyst,Product Support Analyst,en,
Product Support Analyst,product support analyst,en,
Product Support Analyst,technical support analyst,en,
Product Support Analyst,product support specialist,en,
Product Support Analyst,產品支援分析師,zh,
Product Support Analyst,技術支援分析師,zh,
ERP Analyst,ERP Analyst,en,
ERP Analyst,erp analyst,en,
ERP Analyst,erp consultant,en,
ERP Analyst,erp system analyst,en,
ERP Analyst,ERP分析師,mixed,
ERP Analyst,ERP顧問,mixed,
ERP Analyst,ERP系統分析師,mixed,
CRM Analyst,CRM Analyst,en,
CRM Analyst,crm analyst,en,
CRM Analyst,crm system analyst,en,
CRM Analyst,crm business analyst,en,
CRM Analyst,CRM分析師,mixed,
CRM Analyst,CRM系統分析師,mixed,
Implementation Consultant,Implementation Consultant,en,
Implementation Consultant,implementation consultant,en,
Implementation Consultant,implementation specialist,en,
