keyword,mapped_roles_count,sample_roles,notes
綜合管理專員,1,General Management Associate,104 search keyword pool; deduped from role-level primary keywords
線上行銷專員,1,Digital Marketing Specialist,104 search keyword pool; deduped from role-level primary keywords
總經理室分析師,1,CEO Office Analyst,104 search keyword pool; deduped from role-level primary keywords
總經理室專員,1,Chief of Staff Associate,104 search keyword pool; deduped from role-level primary keywords
績效行銷分析師,1,Performance Marketing Analyst,104 search keyword pool; deduped from role-level primary keywords
股票研究分析師,1,Equity Research Analyst,104 search keyword pool; deduped from role-level primary keywords
薪資福利分析師,1,Compensation & Benefits Analyst,104 search keyword pool; deduped from role-level primary keywords
薪酬福利分析師,1,Compensation & Benefits Analyst,104 search keyword pool; deduped from role-level primary keywords
行業研究員,1,Industry Research Analyst,104 search keyword pool; deduped from role-level primary keywords
行銷主管,1,Marketing Manager,104 search keyword pool; deduped from role-level primary keywords
行銷企劃,1,Marketing Specialist,104 search keyword pool; deduped from role-level primary keywords
行銷分析師,1,Marketing Analyst,104 search keyword pool; deduped from role-level primary keywords
行銷專員,2,"Marketing Associate, Marketing Specialist",104 search keyword pool; deduped from role-level primary keywords
行銷數據分析師,1,Marketing Analyst,104 search keyword pool; deduped from role-level primary keywords
行銷經理,1,Marketing Manager,104 search keyword pool; deduped from role-level primary keywords
行銷顧問,1,Marketing Consultant,104 search keyword pool; deduped from role-level primary keywords
解決方案分析師,1,Solutions Analyst,104 search keyword pool; deduped from role-level primary keywords
解決方案工程師,1,Solutions Engineer,104 search keyword pool; deduped from role-level primary keywords
解決方案行銷經理,1,Solutions Marketing Manager,104 search keyword pool; deduped from role-level primary keywords
解決方案顧問,1,Solutions Consultant,104 search keyword pool; deduped from role-level primary keywords
計畫經理,1,Program Manager,104 search keyword pool; deduped from role-level primary keywords
訓練發展專員,1,Learning & Development Specialist,104 search keyword pool; deduped from role-level primary keywords
調查分析師,1,Survey Analyst,104 search keyword pool; deduped from role-level primary keywords
財務企劃分析師,1,Financial Analyst,104 search keyword pool; deduped from role-level primary keywords
財務分析師,2,"Finance Analyst, Financial Analyst",104 search keyword pool; deduped from role-level primary keywords
財務專員,1,Finance Analyst,104 search keyword pool; deduped from role-level primary keywords
財務數據分析師,1,Financial Data Analyst,104 search keyword pool; deduped from role-level primary keywords
財務策略分析師,1,Strategic Finance Analyst,104 search keyword pool; deduped from role-level primary keywords
財務規劃分析師,2,"FP&A Analyst, Financial Planning Analyst",104 search keyword pool; deduped from role-level primary keywords
財務計畫分析師,2,"FP&A Analyst, Financial Planning Analyst",104 search keyword pool; deduped from role-level primary keywords
財務顧問,1,Financial Advisor,104 search keyword pool; deduped from role-level primary keywords
財務風險分析師,1,Financial Risk Analyst,104 search keyword pool; deduped from role-level primary keywords
財富管理專員,1,Wealth Management Associate,104 search keyword pool; deduped from role-level primary keywords
財會分析師,1,Accounting Analyst,104 search keyword pool; deduped from role-level primary keywords
財資分析師,1,Treasury Analyst,104 search keyword pool; deduped from role-level primary keywords
貸款專員,1,Loan Officer,104 search keyword pool; deduped from role-level primary keywords
資料倉儲分析師,1,Data Warehouse Analyst,104 search keyword pool; deduped from role-level primary keywords
資料分析師,1,Data Analyst,104 search keyword pool; deduped from role-level primary keywords
資料工程師,1,Data Engineer,104 search keyword pool; deduped from role-level primary keywords
資料平台分析師,1,Data Platform Analyst,104 search keyword pool; deduped from role-level primary keywords
資料庫分析師,1,Database Analyst,104 search keyword pool; deduped from role-level primary keywords
資料營運分析師,1,Data Operations Analyst,104 search keyword pool; deduped from role-level primary keywords
資料產品經理,1,Data Product Manager,104 search keyword pool; deduped from role-level primary keywords
資料科學家,1,Data Scientist,104 search keyword pool; deduped from role-level primary keywords
資料管線工程師,1,Data Pipeline Engineer,104 search keyword pool; deduped from role-level primary keywords
資料視覺化分析師,1,Data Visualization Analyst,104 search keyword pool; deduped from role-level primary keywords
資本市場分析師,1,Capital Markets Analyst,104 search keyword pool; deduped from role-level primary keywords
資產管理分析師,1,Asset Management Analyst,104 search keyword pool; deduped from role-level primary keywords
資產配置分析師,1,Portfolio Analyst,104 search keyword pool; deduped from role-level primary keywords
資訊稽核,1,IT Auditor,104 search keyword pool; deduped from role-level primary keywords
資訊系統顧問,1,Systems Consultant,104 search keyword pool; deduped from role-level primary keywords
資訊顧問,1,IT Consultant,104 search keyword pool; deduped from role-level primary keywords
資金管理分析師,1,Treasury Analyst,104 search keyword pool; deduped from role-level primary keywords
軟體PM,1,Software Product Manager,104 search keyword pool; deduped from role-level primary keywords
軟體工程師,1,Software Engineer,104 search keyword pool; deduped from role-level primary keywords
軟體產品經理,1,Software Product Manager,104 search keyword pool; deduped from role-level primary keywords
輪調計畫專員,1,Rotational Program Associate,104 search keyword pool; deduped from role-level primary keywords
通路業務經理,1,Channel Sales Manager,104 search keyword pool; deduped from role-level primary keywords
通路配送分析師,1,Distribution Analyst,104 search keyword pool; deduped from role-level primary keywords
運營分析師,1,Operations Analyst,104 search keyword pool; deduped from role-level primary keywords
運營專員,1,Operations Associate,104 search keyword pool; deduped from role-level primary keywords
運營經理,1,Operations Manager,104 search keyword pool; deduped from role-level primary keywords
運營顧問,1,Operations Consultant,104 search keyword pool; deduped from role-level primary keywords
配送分析師,1,Distribution Analyst,104 search keyword pool; deduped from role-level primary keywords
量化分析師,1,Quantitative Analyst,104 search keyword pool; deduped from role-level primary keywords
量化研究分析師,1,Quantitative Research Analyst,104 search keyword pool; deduped from role-level primary keywords
金融交易員,1,Trader,104 search keyword pool; deduped from role-level primary keywords
金融風險分析師,2,"Banking Risk Analyst, Financial Risk Analyst",104 search keyword pool; deduped from role-level primary keywords
銀行風險分析師,1,Banking Risk Analyst,104 search keyword pool; deduped from role-level primary keywords
銷售交易分析師,1,Sales & Trading Analyst,104 search keyword pool; deduped from role-level primary keywords
銷售分析師,1,Sales Analyst,104 search keyword pool; deduped from role-level primary keywords
銷售專員,1,Sales Executive,104 search keyword pool; deduped from role-level primary keywords
開發者關係專員,1,Developer Relations Associate,104 search keyword pool; deduped from role-level primary keywords
關鍵字廣告專員,1,SEM Specialist,104 search keyword pool; deduped from role-level primary keywords
關鍵客戶經理,1,Key Account Manager,104 search keyword pool; deduped from role-level primary keywords
需求規劃師,1,Demand Planner,104 search keyword pool; deduped from role-level primary keywords
需求計畫專員,1,Demand Planner,104 search keyword pool; deduped from role-level primary keywords
需求預測分析師,1,Forecasting Analyst,104 search keyword pool; deduped from role-level primary keywords
預測分析分析師,1,Predictive Analytics Analyst,104 search keyword pool; deduped from role-level primary keywords
預測分析師,1,Forecasting Analyst,104 search keyword pool; deduped from role-level primary keywords
預測模型分析師,1,Predictive Analytics Analyst,104 search keyword pool; deduped from role-level primary keywords
預算分析師,1,Budget Analyst,104 search keyword pool; deduped from role-level primary keywords
預算管理師,1,Budget Analyst,104 search keyword pool; deduped from role-level primary keywords
領導力發展計畫分析師,1,Leadership Development Program Analyst,104 search keyword pool; deduped from role-level primary keywords
顧問助理,1,Junior Consultant,104 search keyword pool; deduped from role-level primary keywords
顧客洞察分析師,1,Customer Insights Analyst,104 search keyword pool; deduped from role-level primary keywords
顧客經營行銷專員,1,CRM Marketing Specialist,104 search keyword pool; deduped from role-level primary keywords
顧客關係管理專員,1,CRM Specialist,104 search keyword pool; deduped from role-level primary keywords
風控分析師,1,Risk Management Analyst,104 search keyword pool; deduped from role-level primary keywords
風險模型分析師,1,Risk Modeling Analyst,104 search keyword pool; deduped from role-level primary keywords
風險管理分析師,1,Risk Management Analyst,104 search keyword pool; deduped from role-level primary keywords
風險顧問,1,Risk Consultant,104 search keyword pool; deduped from role-level primary keywords
駐站創業家,1,Entrepreneur in Residence,104 search keyword pool; deduped from role-level primary keywords
高階獵才顧問,1,Executive Search Associate,104 search keyword pool; deduped from role-level primary keywords
