job_parent_category,job_sub_category,job_skill_name,中文職位名稱關鍵字
Data Engineering / Analytics Engineering,Data Engineering,Data Engineer,"資料工程, 數據工程, Data Engineer, 數據管線開發, 數據整合"
Data Engineering / Analytics Engineering,Data Engineering,Data Pipeline Engineer,"資料管線工程, 數據管線工程, Data Pipeline Engineer, ETL流程設計, 數據流設計"
Data Engineering / Analytics Engineering,Data Engineering,ETL Developer,"ETL開發工程, ETL工程, ETL Developer, ETL流程開發, 數據抽取轉換載入"
Data Engineering / Analytics Engineering,Analytics Engineering,Analytics Engineer,"分析工程, Analytics Engineer, 數據模型建置, 指標定義與治理"
Data Engineering / Analytics Engineering,Analytics Engineering,BI Engineer,"BI工程, 商業智慧工程, BI Engineer, BI平台開發, 報表系統開發"
Data Engineering / Analytics Engineering,Analytics Engineering,Data Warehouse Analyst,"資料倉儲分析, 數據倉儲分析, Data Warehouse Analyst, 數據倉儲建模, 數據倉儲維護"
Data Engineering / Analytics Engineering,Database / Data Platform,Database Analyst,"資料庫分析, Database Analyst, 資料庫效能分析, 資料庫結構優化"
Data Engineering / Analytics Engineering,Database / Data Platform,Data Platform Analyst,"資料平台分析, 數據平台分析, Data Platform Analyst, 數據平台規劃, 數據平台營運"
Data Engineering / Analytics Engineering,Database / Data Platform,Data Operations Analyst,"資料營運分析, 數據營運分析, Data Operations Analyst, 數據品質監控, 數據流程監控"
Information Systems / Tech-Business Hybrid,Systems / IT Analysis,System Analyst,"系統分析, SA, System Analyst, 需求分析, 系統設計, 系統規劃"
Information Systems / Tech-Business Hybrid,Systems / IT Analysis,Business Systems Analyst,"商業系統分析, Business Systems Analyst, BSA, 業務流程分析, 系統需求訪談"
Information Systems / Tech-Business Hybrid,Systems / IT Analysis,IT Business Analyst,"IT商業分析, IT, IT需求分析, IT解決方案規劃"
Information Systems / Tech-Business Hybrid,Systems / IT Analysis,Product Support Analyst,"產品支援分析, Product Support Analyst, 技術支援分析, 問題排除, 使用者需求回報"
Information Systems / Tech-Business Hybrid,ERP / CRM / Implementation,ERP Analyst,"ERP分析, ERP顧問, ERP系統分析, ERP導入, ERP流程設計"
Information Systems / Tech-Business Hybrid,ERP / CRM / Implementation,CRM Analyst,"CRM分析, CRM系統分析, 客戶關係系統分析, 會員系統分析"
Information Systems / Tech-Business Hybrid,ERP / CRM / Implementation,Implementation Consultant,"導入顧問, 系統導入顧問, Implementation Consultant, 導入規劃, 用戶上線輔導"
Information Systems / Tech-Business Hybrid,ERP / CRM / Implementation,Solutions Analyst,"解決方案分析, Solutions Analyst, 方案分析, 需求對應, 系統規格撰寫"
Information Systems / Tech-Business Hybrid,Solutions / Pre-sales,Solutions Engineer,"解決方案工程, Solutions Engineer, 售前工程, 技術簡報, PoC執行"
Information Systems / Tech-Business Hybrid,Solutions / Pre-sales,Solutions Consultant,"解決方案顧問, Solutions Consultant, 售前顧問, 方案規劃, 客戶方案設計"
Information Systems / Tech-Business Hybrid,Solutions / Pre-sales,Sales Engineer,"業務工程, Sales Engineer, 售前工程, 技術售前, 需求評估"
Software / Engineering-adjacent,Software Engineering,Software Engineer,"軟體工程, Software Engineer, SWE, 系統開發, 程式設計, 程式除錯"
Software / Engineering-adjacent,Software Engineering,Backend Engineer,"後端工程, Backend Engineer, API開發, 服務端開發, 資料庫串接"
Software / Engineering-adjacent,Software Engineering,Frontend Engineer,"前端工程, Frontend Engineer, 網頁前端開發, 使用者介面開發, 前端框架"
Software / Engineering-adjacent,Software Engineering,Full Stack Engineer,"全端工程, Full Stack Engineer, 前後端開發, 全端系統設計"
Software / Engineering-adjacent,Quality / Technical Program,QA Analyst,"QA分析, 品保分析, 測試分析, 測試案例設計, 測試結果分析"
Software / Engineering-adjacent,Quality / Technical Program,QA Engineer,"QA工程, 測試工程, 品保工程, 測試自動化, 測試執行"
Software / Engineering-adjacent,Quality / Technical Program,Technical Program Manager,"技術專案, TPM, Technical Program Manager, 技術專案管理, 跨團隊協調"
Software / Engineering-adjacent,Product / Platform Engineering Adjacent,Product Operations Analyst,"產品營運分析, Product Ops分析, 產品數據分析, 產品流程優化"
Software / Engineering-adjacent,Product / Platform Engineering Adjacent,Developer Relations Associate,"開發者關係, Developer Relations, DevRel, 開發者社群營運, 技術內容產出"
Software / Engineering-adjacent,Product / Platform Engineering Adjacent,Technical Support Engineer,"技術支援工程, Technical Support Engineer, 客服工程, 技術問題排除, 客戶技術支援"
Human Resources / Talent,HR / People Operations,HR Specialist,"人資, HR, Human Resources Specialist, 人力資源管理, 員工關係, 勞資關係, 教育訓練, 績效管理, 薪酬管理"
Human Resources / Talent,HR / People Operations,HR Analyst,"人資分析, HR分析, Human Resources Analyst, 人資數據分析, 人資報表, HR報表, 人力成本分析, 頭數分析（Headcount分析）, 員工流動率分析, 人資KPI"
Human Resources / Talent,HR / People Operations,HR Business Partner,"People, HRBP, 人資夥伴, HR Business Partner, 業務夥伴, 組織設計, 組織調整, 人力盤點, 人才盤點, 繼任計畫, 組織發展"
Human Resources / Talent,HR / People Operations,People Operations Analyst,"People Ops分析, 人員營運分析, 人資營運分析, 人事流程, 入離調升, 員工入職, 員工離職, 員工異動, HR系統（HRIS）, 員工生命周期管理"
Human Resources / Talent,HR / People Operations,People Analyst,"人員分析, People Analyst, 人資數據分析, 員工數據洞察, 員工敬業度分析, 人力成本分析"
Human Resources / Talent,Talent Acquisition / Recruiting,Talent Acquisition Specialist,"招募, 人才招募, Talent Acquisition Specialist, 招募策略, 招募流程, 招募管道管理, 職缺說明撰寫, 招募廣告, 校園招募"
Human Resources / Talent,Talent Acquisition / Recruiting,Recruiter,"招募顧問, 招募, Recruiter, 面試安排, 面談邀約, 候選人篩選, offer協調, onboarding安排"
Human Resources / Talent,Talent Acquisition / Recruiting,Headhunter,"獵頭, 獵才顧問, Headhunter, 高階人才尋訪, 主動挖角, 獵才專案"
Human Resources / Talent,Talent Acquisition / Recruiting,Executive Search Associate,"高階獵才顧問, Executive Search Associate, 獵才, 高階人才招募, 高階人才搜尋"
Human Resources / Talent,Talent Acquisition / Recruiting,Recruitment Consultant,"招募顧問, Recruitment Consultant, 獵才顧問, 招募策略規劃, 招募專案"
Human Resources / Talent,Compensation / Learning,Compensation & Benefits Analyst,"薪酬福利分析, C&B分析, 薪資福利分析, 薪酬結構設計, 薪酬調整, 年度調薪, 獎金制度, 福利制度"
Human Resources / Talent,Compensation / Learning,Learning & Development Specialist,"學習發展, 訓練發展, L&D, 訓練需求分析, 教育訓練規劃, 課程安排, 課程設計, 課程講師協調"
Human Resources / Talent,Compensation / Learning,Organizational Development Analyst,"組織發展分析, OD分析, Organizational Development Analyst, 組織診斷, 組織氛圍調查, 變革管理, 組織發展"
General Management / Leadership Programs,Management Trainee / Graduate Program,Management Trainee,"儲備幹部, 管理培訓生, MT, Management Trainee, 管培生, 跨部門輪調, 多職能輪調, 密集訓練, 系統化培訓, 管理職儲備"
General Management / Leadership Programs,Management Trainee / Graduate Program,Graduate Trainee,"畢業生培訓計畫, Graduate Trainee, 儲備人才, 應屆生培訓, 畢業生培訓專案"
General Management / Leadership Programs,Management Trainee / Graduate Program,Leadership Development Program Analyst,"領導力發展計畫分析, LDP Analyst, 儲備主管計畫, 領導力培訓, 高潛人才發展, 領導力課程"
General Management / Leadership Programs,Management Trainee / Graduate Program,Rotational Program Associate,"輪調計畫, Rotational Program Associate, 儲備輪調, 多部門輪調, 多職能輪調"
General Management / Leadership Programs,General Management / Business Leadership,General Management Associate,"綜合管理, General Management Associate, 經營管理, 綜合企劃, 經營企劃, 營運管理, 策略規劃"
General Management / Leadership Programs,General Management / Business Leadership,Business Management Associate,"商業管理, Business Management Associate, 業務營運管理, 商業營運管理"
General Management / Leadership Programs,Project / Program Management,Project Manager,"專案, PM, Project Manager, 專案管理, 專案規劃, 專案執行"
General Management / Leadership Programs,Project / Program Management,Program Manager,"計畫, Program Manager, 專案群, 計畫管理, 跨專案協調"
General Management / Leadership Programs,Project / Program Management,Business Program Manager,"商業專案, Business Program Manager, 商業專案管理, 商業專案執行"
Entrepreneurship / Venture,Startup / Venture Building,Founder,"創辦人, 共同創辦人, Founder, Co-founder, 新創團隊建立, 商業模式驗證, 產品–市場適配（PMF）, MVP開發, 募資（Seed / Series A）, 投資人簡報（pitch deck）"
Entrepreneurship / Venture,Startup / Venture Building,Entrepreneur in Residence,"駐站創業家, EIR, Entrepreneur in Residence, 創業輔導, 商業模式驗證, 事業驗證"
Entrepreneurship / Venture,Startup / Venture Building,Venture Builder,"創業建構者, Venture Builder, 新創孵化, 新事業開發, 0到1建置, 營運流程搭建, 指標建立（KPI建立）"
Entrepreneurship / Venture,Startup / Venture Building,Startup Operations Associate,"新創營運, Startup Operations Associate, 新創運營, 營運流程搭建, 指標建立（KPI建立）, 新創日常營運"
Entrepreneurship / Venture,Growth / Early-stage Ops,Growth Associate,"成長, Growth Associate, 增長, 用戶成長, 留存分析, 漏斗分析, A/B測試, 成長實驗"
Entrepreneurship / Venture,Growth / Early-stage Ops,Business Operations Associate,"商業營運, BizOps, Business Operations Associate, 營運數據分析, 營運儀表板, 營運優化"
Entrepreneurship / Venture,Growth / Early-stage Ops,Strategy Associate,"策略, Strategy Associate, 商業策略分析, 成長策略, 商業模式優化"
Entrepreneurship / Venture,Venture / Startup Investment,Investment Associate,"投資, Investment Associate, 投資評估, 投資分析, 投資案評估, 財務模型建立"
Entrepreneurship / Venture,Venture / Startup Investment,Venture Capital Analyst,"創投分析, VC分析, Venture Capital Analyst, 新創投資分析, 投資標的研究, 商業盡職調查, 投資備忘錄（investment memo）"
Entrepreneurship / Venture,Venture / Startup Investment,Startup Investment Analyst,"新創投資分析, Startup Investment Analyst, 創投投資分析, 早期投資分析, 投資組合管理"
Risk / Insurance / Actuarial,Actuarial,Actuarial Analyst,"精算, 精算分析, 統計精算人員, 商品精算, 財務精算, 數理精算人員, 精算人員, 精算實習生, Actuarial"
Risk / Insurance / Actuarial,Risk Management,Risk Management Analyst,"風險管理人員, 風險管理, 風險控管人員, 風控人員, 風控, 風險分析, 風險管理分析"
Risk / Insurance / Actuarial,Insurance,Underwriting Analyst,"核保人員, 核保, 核保管理人員, 契約核保人員, 核保分析, Underwriting"
Operations / Supply Chain / Procurement,Procurement / Sourcing / Vendor,Procurement Specialist,"採購人員, 採購, 商品採購, 採購管理, 採購助理"
Operations / Supply Chain / Procurement,Procurement / Sourcing / Vendor,Sourcing Specialist,"供應商開發, 採購開發, 商品開發, 尋源, Sourcing"
Operations / Supply Chain / Procurement,Business / Strategy Operations,Operations Analyst,"營運分析, 營運管理, 營運企劃, 業務營運, Sales Operation, Sales Operations, SFE"
Sales / Business Development / Partnership,Sales / Account Management,Sales Analyst,"業績分析, 銷售分析, 業務分析, SFE, Sales Force Effectiveness, Sales Operation"
Finance / Corporate Finance / FP&A,FP&A / Planning,Finance Analyst,"財務人員, 財務, 財務分析, 財務分析人員, 財務企劃"
Accounting / Audit / Tax,Accounting,Accounting Analyst,"財會人員, 財會, 會計人員, 會計, 財務會計"
Accounting / Audit / Tax,Tax / Compliance,Compliance Analyst,"法遵人員, 法遵, 合規, 法令遵循人員, Compliance"
Analytics / Data / BI,Business Analytics,Business Analyst,"商業分析, 商務分析, 商業數據分析, 業務分析, 經營分析"
Analytics / Data / BI,Business Analytics,Data Analyst,"資料分析, 數據分析, 報表分析, 數據報表, 資料分析師, 數據分析師, 數據分析人員, 報表分析師"
Analytics / Data / BI,Functional Analytics,Product Analyst,"產品分析, 產品數據分析, 產品資料分析, Product Analyst"
Product Management,Product Operations / Product Strategy,Marketplace Analyst,"市集分析, 平台交易分析, Marketplace Analyst, 供需媒合分析, 賣家買家分析, 平台生態分析"
Product Management,Product Operations / Product Strategy,CRM & Lifecycle Analyst,"顧客關係數據分析, CRM & Lifecycle Analyst, 會員數據分析, 顧客生命週期分析, 會員生命週期數據分析, 顧客留存分析"
